estado;estado_harmonizado
AC;AC
AL;AL
AM;AM
AP;AP
BA;BA
CE;CE
distrito federal;DF
ES;ES
GO;GO
MA;MA
MG;MG
MS;MS
MT;MT
PA;PA
PB;PB
PE;PE
PI;PI
PR;PR
RJ;RJ
RN;RN
RO;RO
RR;RR
RS;RS
SC;SC
SE;SE
SP;SP
TO;TO
sao  paulo;SP
DF;DF
são  paulo;SP
rio de  janeiro ;RJ
MINAS GERAI;MG
MINAS GERAIs;MG
